lokasi,latitude,longitude,curah_hujan,penggunaan lahan,jenis tanah,Kategori Curah Hujan,Labeling
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIHANYIR",-7.034.434,10.781.092,2005.52,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CILULUK",-7.038.312,107.803.304,44.774,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, BOJONGSALAM",-6.992.941,107.802.196,1954.75,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, LINGGAR",-6.974.516,107.776.282,1999.65,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, CANGKUANG",-6.972.372,10.779.047,1969.36,9,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, HAURPUGUR",-6.994.326,107.777.028,2004.44,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, BOJONG",-7.039.568,107.767.543,2062.84,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASEH, CIJAGRA",-7.036.788,107.777.117,2049.26,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASEH, TANGSIMEKAR",-7.028.698,107.777.331,2039.69,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CANGKUANG, CANGKUANG",-6.979.043,107.782.748,31.229,6,6,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, CICALENGKA KULON",-6.981.591,107.832.724,1925.33,6,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, CICALENGKA WETAN",-6.997.711,107.841.926,13.119,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, DAMPIT",-6.974.237,107.849.828,1934.66,5,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, MARGAASIH",-7.016.285,107.838.072,1956.46,5,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, NARAWITA",-7.026.569,107.844.001,1973.86,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, TANJUNGWANGI",-6.970.147,107.887.255,26.481,5,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, TENJOLAYA",-6.982.726,107.835.008,1925.93,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, NAGROG",-7.000.071,107.863.643,1953.56,1,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, NAGREG",-7.022.122,1.078.934,1996.39,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, BOJONG",-7.026.543,107.870.048,30.926,9,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, CIHERANG",-7.034.742,107.891.743,2004.84,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, CITAMAN",-7.009.957,107.875.985,26.39,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, MANDALAWANGI",-7.025.169,107.861.087,1979.74,7,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, NAGREG KENDAN",-7.022.122,1.078.934,1996.39,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, MANDALASARI",-7.037.923,10.782.847,36.557,5,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIKANCUNG",-7.038.502,107.825.012,2001.44,9,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIKASUNGKA",-7.014.067,107.811.798,1966.51,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIHANYIR",-7.034.434,10.781.092,2005.52,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CILULUK",-7.038.312,107.803.304,44.774,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, BOJONGSALAM",-6.992.941,107.802.196,1954.75,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, LINGGAR",-6.974.516,107.776.282,1999.65,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, CANGKUANG",-6.972.372,10.779.047,1969.36,9,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, HAURPUGUR",-6.994.326,107.777.028,2004.44,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, BOJONG",-7.039.568,107.767.543,2062.84,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASEH, CIJAGRA",-7.036.788,107.777.117,2049.26,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASEH, TANGSIMEKAR",-7.028.698,107.777.331,2039.69,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CANGKUANG, CANGKUANG",-6.979.043,107.782.748,31.229,6,6,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, CICALENGKA KULON",-6.981.591,107.832.724,1925.33,6,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, CICALENGKA WETAN",-6.997.711,107.841.926,13.119,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, DAMPIT",-6.974.237,107.849.828,1934.66,5,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, MARGAASIH",-7.016.285,107.838.072,1956.46,5,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, NARAWITA",-7.026.569,107.844.001,1973.86,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, TANJUNGWANGI",-6.970.147,107.887.255,26.481,5,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, TENJOLAYA",-6.982.726,107.835.008,1925.93,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, NAGROG",-7.000.071,107.863.643,1953.56,1,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, NAGREG",-7.022.122,1.078.934,1996.39,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, BOJONG",-7.026.543,107.870.048,30.926,9,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, CIHERANG",-7.034.742,107.891.743,2004.84,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, CITAMAN",-7.009.957,107.875.985,26.39,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, MANDALAWANGI",-7.025.169,107.861.087,1979.74,7,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, NAGREG KENDAN",-7.022.122,1.078.934,1996.39,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, MANDALASARI",-7.037.923,10.782.847,36.557,5,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIKANCUNG",-7.038.502,107.825.012,2001.44,9,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIKASUNGKA",-7.014.067,107.811.798,1966.51,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIHANYIR",-7.034.434,10.781.092,2005.52,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CILULUK",-7.038.312,107.803.304,44.774,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, BOJONGSALAM",-6.992.941,107.802.196,1954.75,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, LINGGAR",-6.974.516,107.776.282,1999.65,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, CANGKUANG",-6.972.372,10.779.047,1969.36,9,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, HAURPUGUR",-6.994.326,107.777.028,2004.44,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, BOJONG",-7.039.568,107.767.543,2062.84,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASEH, CIJAGRA",-7.036.788,107.777.117,2049.26,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASEH, TANGSIMEKAR",-7.028.698,107.777.331,2039.69,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CANGKUANG, CANGKUANG",-6.979.043,107.782.748,31.229,6,6,1,0
Kec. Nagreg Ds. Citaman Kec. Paseh Ds. Dramatic Kec. Solokan Jeruk Ds. Panyadap Kec. Rancaekek Ds. Haur Pugur,-7.009.957,107.875.985,26.39,7,5,1,0
"Kec. Cicalengka Ds. Cicalengka Wetan, Cikuya",-6.981.591,107.832.724,1925.33,6,5,2,0
Kec. Nagreg Ds. Ciherang,-7.034.742,107.891.743,2004.84,5,5,3,1
Kec. Majalaya Ds. Bojong Kec. Margahayu Kec. Solokan Jeruk,-7.026.543,107.870.048,30.926,9,5,1,0
Kec. Cicalengka Ds. Panenjoan,-6.986.854,107.817.989,1930.87,6,6,2,0
Kec. Cicalengka Ds. Panenjoan,-6.986.854,107.817.989,1930.87,6,6,2,0
